Channel;Impulses
0;19
1;19
2;20
3;21
4;21
5;22
6;23
7;23
8;24
9;24
10;25
11;25
12;25
13;25
14;25
15;25
16;25
17;25
18;25
19;25
20;26
21;26
22;26
23;27
24;27
25;27
26;28
27;28
28;28
29;28
30;28
31;28
32;28
33;28
34;28
35;28
36;28
37;28
38;28
39;29
40;31
41;33
42;38
43;47
44;58
45;74
46;94
47;120
48;150
49;185
50;225
51;273
52;323
53;375
54;429
55;486
56;543
57;598
58;651
59;702
60;748
61;791
62;824
63;856
64;884
65;906
66;920
67;936
68;946
69;953
70;957
71;963
72;966
73;970
74;971
75;974
76;974
77;980
78;979
79;982
80;984
81;986
82;985
83;988
84;990
85;992
86;992
87;994
88;995
89;996
90;997
91;1000
92;1000
93;1004
94;1002
95;1003
96;1004
97;1006
98;1004
99;1008
100;1009
101;1011
102;1010
103;1013
104;1016
105;1019
106;1022
107;1027
108;1030
109;1037
110;1038
111;1043
112;1047
113;1051
114;1052
115;1057
116;1059
117;1060
118;1058
119;1059
120;1059
121;1059
122;1057
123;1057
124;1055
125;1057
126;1051
127;1051
128;1051
129;1053
130;1051
131;1054
132;1058
133;1061
134;1062
135;1066
136;1069
137;1073
138;1076
139;1081
140;1084
141;1092
142;1093
143;1096
144;1098
145;1102
146;1103
147;1110
148;1114
149;1118
150;1120
151;1124
152;1127
153;1130
154;1132
155;1138
156;1139
157;1144
158;1142
159;1146
160;1148
161;1152
162;1151
163;1154
164;1157
165;1159
166;1159
167;1162
168;1163
169;1166
170;1166
171;1170
172;1171
173;1177
174;1177
175;1178
176;1180
177;1183
178;1183
179;1190
180;1194
181;1199
182;1200
183;1204
184;1209
185;1212
186;1215
187;1221
188;1224
189;1229
190;1228
191;1230
192;1231
193;1233
194;1229
195;1229
196;1230
197;1230
198;1228
199;1228
200;1228
201;1228
202;1228
203;1230
204;1230
205;1236
206;1235
207;1237
208;1239
209;1242
210;1242
211;1246
212;1249
213;1251
214;1250
215;1252
216;1254
217;1256
218;1257
219;1260
220;1261
221;1266
222;1263
223;1264
224;1266
225;1268
226;1268
227;1272
228;1275
229;1278
230;1281
231;1286
232;1290
233;1295
234;1301
235;1308
236;1315
237;1325
238;1330
239;1339
240;1348
241;1356
242;1362
243;1376
244;1386
245;1394
246;1400
247;1409
248;1418
249;1427
250;1435
251;1446
252;1455
253;1469
254;1473
255;1484
256;1496
257;1511
258;1519
259;1534
260;1549
261;1564
262;1577
263;1592
264;1604
265;1617
266;1629
267;1642
268;1651
269;1668
270;1674
271;1682
272;1688
273;1695
274;1696
275;1704
276;1708
277;1713
278;1714
279;1719
280;1724
281;1729
282;1733
283;1742
284;1745
285;1755
286;1755
287;1760
288;1764
289;1770
290;1769
291;1773
292;1775
293;1776
294;1771
295;1771
296;1767
297;1764
298;1758
299;1756
300;1748
301;1747
302;1736
303;1729
304;1720
305;1713
306;1703
307;1701
308;1695
309;1689
310;1679
311;1673
