lambda;comptes
350;158,25
351;159,59
352;159,82
353;161,67
354;160,88
355;156,64
356;158,54
357;160,01
358;165,4
359;162,73
360;162,02
361;161,84
362;156,86
363;158,88
364;157,87
365;162,91
366;155,27
367;162,04
368;160,57
369;161,09
370;197,93
371;162,83
372;163,63
373;165,14
374;162,66
375;162,92
376;168,01
377;157,94
378;160,91
379;157,91
380;162,91
381;161,57
382;157,17
383;161,45
384;158,33
385;160,21
386;166,21
387;163,43
388;228,84
389;170,69
390;165,15
391;164,07
392;161,43
393;160,56
394;163,97
395;173,22
396;162,11
397;166,51
398;167,62
399;158,57
400;162,01
401;164,45
402;163
403;162,94
404;164,6
405;163,88
406;169,16
407;159,97
408;163,52
409;166,99
410;165,97
411;165,35
412;158,83
413;160,07
414;159,41
415;160,78
416;157,79
417;170,86
418;163,6
419;166,32
420;166,22
421;163,3
422;160,14
423;163,04
424;159,5
425;160,27
426;158,1
427;161,18
428;162,87
429;163,03
430;163,43
431;161,97
432;168,03
433;162
434;163,72
435;162,72
436;165,73
437;158,37
438;167,13
439;158,71
440;169,1
441;160,87
442;171,73
443;165,39
444;161,3
445;163,91
446;206,05
447;194,67
448;162,79
449;159,09
450;165,12
451;159,04
452;164,81
453;159,95
454;157,03
455;159,29
456;159,77
457;164,39
458;164,49
459;164,64
460;166,53
461;161,89
462;165,31
463;161,68
464;162,37
465;165,02
466;162,21
467;164,3
468;161,96
469;166,1
470;161,18
471;172,36
472;163,53
473;159,62
474;162,59
475;160,99
476;163,88
477;160,97
478;163,69
479;162,73
480;162,97
481;160,44
482;159,48
483;164
484;160,93
485;160,05
486;162,75
487;164,74
488;165,96
489;166,49
490;162,01
491;185,32
492;178,68
493;163,77
494;165,76
495;164,29
496;158,01
497;164,21
498;160,35
499;158,62
500;172,44
501;369,28
502;175,72
503;160,22
504;168,05
505;163,48
506;161,44
507;164,07
508;164,66
509;160,79
510;164,51
511;158,34
512;164,03
513;160,94
514;164,08
515;163,79
516;163,81
517;163,03
518;162,19
519;161,81
520;166,71
521;159,88
522;159,9
523;160,45
524;160,6
525;162,24
526;160,05
527;155,03
528;162,56
529;163,6
530;168,01
531;164,2
532;164,05
533;162,12
534;160,55
535;162,82
536;156,44
537;162,18
538;163,02
539;166,87
540;165,9
541;162,92
542;158,9
543;162,1
544;161,81
545;159,99
546;169,1
547;164,33
548;158,83
549;161,24
550;162
551;161,56
552;161,1
553;160,49
554;166,37
555;157,86
556;162,63
557;161,25
558;163,96
559;162,9
560;166,15
561;160,73
562;161,5
563;157,15
564;161,15
565;166,17
566;163,97
567;163,76
568;162,75
569;161,45
570;171,39
571;162,88
572;164,14
573;160,01
574;160,66
575;163,18
576;163,78
577;166,01
578;158,27
579;163,45
580;164,82
581;162,06
582;173,9
583;171,06
584;162,38
585;170,54
586;522,93
587;3655,43
588;260,68
589;172,08
590;159,16
591;165,08
592;163,89
593;164,33
594;162,61
595;162,11
596;163,38
597;163,36
598;163,87
599;163,61
600;158,84
601;157,7
602;165,96
603;162,39
604;164,56
605;159,34
606;162,83
607;155,93
608;162,76
609;162,99
610;166,01
611;164,27
612;159,24
613;160,16
614;158,63
615;160,82
616;163,01
617;166,37
618;156,08
619;165,27
620;160,36
621;161,02
622;156,3
623;163,99
624;161,86
625;160,35
626;159,05
627;162,81
628;160,28
629;161,14
630;164,39
631;162,96
632;160,9
633;162,91
634;159,15
635;159,68
636;161,55
637;162,29
638;157,8
639;163,77
640;166,8
641;163,02
642;162,88
643;167,6
644;159,24
645;162,21
646;160,5
647;158,51
648;157,97
649;160,11
650;163,89
651;160,83
652;164,64
653;164,66
654;164,89
655;165,39
656;163,3
657;162,1
658;162,23
659;161,38
660;160,38
661;159,99
662;158,87
663;165,98
664;163,43
665;163,85
666;162,2
667;1011,51
668;205,57
669;168,08
670;159,24
671;161,84
672;160,57
673;163
674;162,06
675;161,91
676;167,39
677;164,79
678;163,33
679;160,72
680;161,44
681;165,04
682;161,63
683;165,15
684;162,42
685;162,69
686;156,54
687;158,74
688;160,43
689;161,05
690;158,94
691;161,18
692;163,4
693;164,03
694;161,4
695;162,78
696;160,45
