lambda;comptes
350;158,37
351;159,7
352;160
353;160,86
354;156,37
355;158,35
356;157,71
357;159,21
358;155,5
359;158,18
360;160,17
361;162,01
362;160,07
363;158,92
364;155,9
365;157,45
366;158,37
367;161
368;158,03
369;160,22
370;194,96
371;153,67
372;157,82
373;161,12
374;160,64
375;157,11
376;162,97
377;160,47
378;163,34
379;160,89
380;156,14
381;159,46
382;159,08
383;162,03
384;162,84
385;160,19
386;161,71
387;159,82
388;161,02
389;155,44
390;160,25
391;164,07
392;165,74
393;158,3
394;164,79
395;177,7
396;162,35
397;161,39
398;165,03
399;158,44
400;167,41
401;160,7
402;160,79
403;161,01
404;161,12
405;160,23
406;160,37
407;158,97
408;159,65
409;159,32
410;161,16
411;161,34
412;161,99
413;162,28
414;159,7
415;166,56
416;159
417;163,41
418;161,4
419;161,87
420;162,85
421;159,67
422;158,27
423;161
424;162,18
425;160,93
426;163,15
427;157,8
428;159,91
429;162,18
430;161,59
431;159,34
432;154,04
433;163
434;157,61
435;161,44
436;163,52
437;162,18
438;162,9
439;157,37
440;165,22
441;158,7
442;166,2
443;164,95
444;162,44
445;160,51
446;161,13
447;156,04
448;158,46
449;157,99
450;157,97
451;163,04
452;163,74
453;156,04
454;159,05
455;164,01
456;163,52
457;160,38
458;161,97
459;160,73
460;162,89
461;160
462;160,43
463;162,74
464;159,64
465;167,02
466;164,48
467;161,23
468;159,34
469;162,11
470;156,51
471;162,07
472;161,43
473;162,14
474;162,56
475;158,13
476;158,1
477;161,63
478;164,14
479;155,55
480;160
481;159,82
482;158,13
483;161,05
484;161,95
485;161,66
486;165,39
487;160,36
488;162,99
489;157,46
490;159,9
491;159,24
492;158,9
493;166,24
494;157,44
495;162,08
496;164,03
497;161,05
498;160,73
499;159,14
500;159,94
501;159,67
502;162,04
503;165,93
504;164,07
505;158,93
506;165,38
507;157,5
508;160,95
509;167,98
510;164,97
511;158,37
512;154,85
513;159,17
514;164,88
515;163,46
516;157,55
517;156,9
518;160,8
519;163,86
520;161,28
521;161,55
522;162,86
523;161,67
524;161,93
525;160,96
526;157,98
527;158,81
528;157,62
529;164,45
530;158,15
531;162,64
532;157,74
533;159,43
534;157,92
535;163,26
536;157,81
537;162,55
538;163,9
539;159,34
540;159,84
541;158,97
542;157,17
543;160,62
544;158,1
545;162,99
546;165,04
547;159,41
548;156,54
549;163,98
550;159
551;160,32
552;157,96
553;161,59
554;157,86
555;160,06
556;152,4
557;156,79
558;160,85
559;158,39
560;154,9
561;161,56
562;159,93
563;162,02
564;162,74
565;157,16
566;164,79
567;162,94
568;181,87
569;160,83
570;173,39
571;158,97
572;159,63
573;161,34
574;159,35
575;158,69
576;159,53
577;155,03
578;162,05
579;162,11
580;164,45
581;163,66
582;166,09
583;165,89
584;181,25
585;174,38
586;173,35
587;196,04
588;3463,47
589;3814,06
590;277,27
591;185,55
592;164,92
593;165,64
594;164,39
595;166,05
596;162,81
597;165,85
598;163,67
599;160,13
600;168,23
601;163,59
602;160,14
603;163,73
604;160,1
605;159,35
606;156,65
607;162,24
608;162,96
609;160,98
610;163,8
611;160,65
612;165,28
613;159,65
614;167,18
615;166,22
616;160,06
617;163,65
618;160,59
619;158,59
620;158,39
621;159,6
622;162,84
623;159,04
624;156,68
625;162,14
626;159,73
627;162,32
628;161,62
629;154,73
630;161,9
631;159,45
632;157,99
633;160,69
634;157,52
635;156,79
636;157,94
637;160,18
638;159,15
639;158,09
640;157,02
641;161,1
642;157,81
643;159,58
644;160,43
645;160,67
646;160,19
647;161,34
648;158,62
649;158,67
650;163,12
651;157,07
652;156,8
653;158,25
654;162,1
655;161,98
656;162,14
657;159,43
658;159,72
659;163,73
660;159,48
661;161,01
662;155,52
663;160,03
664;152,67
665;155,92
666;155,3
667;155,56
668;159,32
669;156,09
670;164,5
671;161,4
672;157,9
673;159,01
674;157,03
675;158,14
676;163,01
677;156,12
678;155,68
679;158,56
680;161,97
681;157,23
682;159,2
683;162,63
684;161,33
685;160,01
686;160,86
687;163,37
688;162,78
689;162,07
690;156,86
691;157,27
692;155,99
693;157,12
694;159,27
695;160,14
696;164,82
697;163,47
698;157,05
699;155,16
700;158,57
701;159,72
702;159,35
703;160,9
704;156,08
705;159,5
706;158,63
707;159,29
708;162,23
709;156,08
710;159,87
711;162,06
712;161,95
713;160,96
714;153,11
715;161,99
716;159,04
717;158,93
718;160,97
719;162,81
720;164,31
721;162,34
722;161,48
723;161,75
724;164,08
725;161,52
726;161,04
727;160,48
728;162,17
729;159,53
730;161,93
731;167,77
732;158,44
733;162,08
734;160,24
735;156,6
736;160,66
737;162,32
738;162,91
739;158,36
740;158,36
741;155,15
742;160,28
743;162,66
744;157,81
745;156,59
746;159,89
747;158,64
748;162,08
749;157,41
750;164,01
751;163,11
752;157
753;160,08
754;165,72
755;158,64
756;161,97
757;162,61
758;156,07
759;155,61
760;162,24
761;156,88
762;157,72
763;166,84
764;160,27
765;157,77
766;176,24
767;161,52
768;163,91
769;167,71
770;163,14
771;157,04
772;161,45
773;161,29
774;158,17
775;152,87
776;158,97
777;157,98
778;156,85
779;157,33
780;163,59
781;160,58
782;157,99
783;160,62
784;160,51
785;156,93
786;160,27
787;158,9
788;161,04
789;162,53
790;160,87
791;160,94
792;155,96
793;159,56
794;160,56
795;159
796;159,81
797;157,25
798;156,32
799;159,91
800;162,5
801;165,17
802;155,17
803;163,98
804;155,8
805;162,75
806;156,07
807;155,4
808;154,5
809;161,06
810;165,56
811;169,73
812;172,32
813;163,9
814;162,56
815;162,36
816;157
817;161,4
818;201,01
819;214,63
820;163,49
821;162,97
822;158,02
823;160,58
824;159,84
825;156,91
826;165,45
827;157,34
828;164,4
829;158,99
830;160,37
831;162,33
832;158,39
833;159,96
834;158,9
835;161,33
836;159,92
837;157,69
838;157,07
839;160,23
840;164,08
841;163,18
842;157,56
843;159,07
844;160,2
845;156,82
846;158,42
847;158,61
848;156,48
849;162,99
850;159,03
851;158,33
852;163,28
853;161,92
854;158,79
855;159,01
856;158,7
857;160,15
858;162,88
859;162,59
860;159,22
861;156
862;158,16
863;160,71
864;159,74
865;161,98
866;157,86
867;160,65
868;161,09
869;161,43
870;161,17
871;156,89
872;160,09
873;161,73
874;156,56
875;155,65
876;158,93
877;161,57
878;151,59
879;158,7
880;154,95
881;156,08
882;160,13
883;159,45
884;161,2
885;162,8
886;158,25
887;159,91
888;156,12
889;157,97
890;155,23
891;161,34
892;159,94
893;159,01
894;154,59
895;156,36
896;160,77
897;160,34
898;153,39
899;162,9
900;161,93
901;157,99
902;158,51
903;159,03
904;162,4
905;162,06
906;159,79
907;162,01
908;162,58
909;158,93
910;158,25
911;161,37
912;159
913;156,23
914;159,23
915;154,66
916;160,03
917;155,86
918;161,32
919;162,44
920;158,74
921;156,59
922;157,51
923;159,88
924;157,91
925;160,79
926;160,56
927;167,45
928;157,98
929;157,38
930;160,03
931;162,53
932;156,05
933;156,33
934;161,46
935;161,37
936;162,2
937;159,08
938;159,69
939;159,82
940;157,41
941;156,54
942;159,93
943;160,52
944;161,5
945;159,19
946;157,89
947;159,09
948;159,03
949;160,22
950;162,1
951;162,2
952;161,52
953;161,8
954;156,65
955;151,81
956;158,01
957;158,85
958;159,91
959;155,68
960;160,36
961;153,91
962;157,81
963;157,79
964;158,89
965;163,98
966;159,19
967;160,5
968;160,73
