angle;imp;lambda;conjunt 1;T
5;13;35,10633318;130;0,1
5,1;13;35,80662278;124;0,10483871
5,2;14;36,5068033;124;0,112903226
5,3;20;37,20687262;113;0,17699115
5,4;21;37,9068286;124;0,169354839
5,5;22;38,60666912;112;0,196428571
5,6;23;39,30639202;117;0,196581197
5,7;22;40,0059952;108;0,203703704
5,8;21;40,70547651;115;0,182608696
5,9;20;41,40483382;119;0,168067227
6;19;42,104065;131;0,145038168
6,1;17;42,80316793;139;0,122302158
6,2;20;43,50214048;152;0,131578947
6,3;21;44,20098051;175;0,12
6,4;27;44,89968589;193;0,139896373
6,5;33;45,59825451;213;0,154929577
6,6;46;46,29668422;226;0,203539823
6,7;57;46,9949729;232;0,245689655
6,8;62;47,69311843;244;0,254098361
6,9;84;48,39111868;266;0,315789474
7;84;49,08897152;254;0,330708661
7,1;93;49,78667483;266;0,34962406
7,2;88;50,48422648;281;0,31316726
7,3;84;51,18162434;287;0,292682927
7,4;88;51,8788663;294;0,299319728
7,5;85;52,57595023;289;0,294117647
7,6;85;53,272874;300;0,283333333
7,7;82;53,96963549;302;0,271523179
7,8;78;54,66623258;317;0,246056782
7,9;74;55,36266314;313;0,236421725
8;74;56,05892507;313;0,236421725
