angle;imp;lambda;conjunt 1;T
5;28;35,10633318;130;0,215384615
5,1;30;35,80662278;124;0,241935484
5,2;32;36,5068033;124;0,258064516
5,3;28;37,20687262;113;0,247787611
5,4;29;37,9068286;124;0,233870968
5,5;30;38,60666912;112;0,267857143
5,6;27;39,30639202;117;0,230769231
5,7;27;40,0059952;108;0,25
5,8;27;40,70547651;115;0,234782609
5,9;26;41,40483382;119;0,218487395
6;30;42,104065;131;0,229007634
6,1;31;42,80316793;139;0,223021583
6,2;38;43,50214048;152;0,25
6,3;52;44,20098051;175;0,297142857
6,4;63;44,89968589;193;0,32642487
6,5;71;45,59825451;213;0,333333333
6,6;85;46,29668422;226;0,376106195
6,7;95;46,9949729;232;0,409482759
6,8;99;47,69311843;244;0,405737705
6,9;105;48,39111868;266;0,394736842
7;103;49,08897152;254;0,405511811
7,1;101;49,78667483;266;0,379699248
7,2;101;50,48422648;281;0,359430605
7,3;108;51,18162434;287;0,37630662
7,4;110;51,8788663;294;0,37414966
7,5;100;52,57595023;289;0,346020761
7,6;104;53,272874;300;0,346666667
7,7;101;53,96963549;302;0,334437086
7,8;97;54,66623258;317;0,305993691
7,9;100;55,36266314;313;0,319488818
8;94;56,05892507;313;0,300319489
