angle;imp;lambda;conjut 2;T
7;59;49,08897152;275;0,214545455
7,1;57;49,78667483;276;0,206521739
7,2;56;50,48422648;286;0,195804196
7,3;56;51,18162434;292;0,191780822
7,4;55;51,8788663;300;0,183333333
7,5;46;52,57595023;304;0,151315789
7,6;47;53,272874;303;0,155115512
7,7;48;53,96963549;323;0,148606811
7,8;48;54,66623258;326;0,147239264
7,9;47;55,36266314;334;0,140718563
8;44;56,05892507;326;0,134969325
8,1;43;56,75501622;335;0,128358209
8,2;41;57,4509345;340;0,120588235
8,3;36;58,14667776;339;0,10619469
8,4;37;58,8422439;336;0,110119048
8,5;34;59,5376308;347;0,097982709
8,6;33;60,23283634;344;0,095930233
8,7;31;60,9278584;342;0,090643275
8,8;28;61,62269486;347;0,080691643
8,9;28;62,3173436;347;0,080691643
9;23;63,01180252;343;0,067055394
9,1;35;63,70606949;358;0,097765363
9,2;55;64,4001424;344;0,159883721
9,3;91;65,09401914;357;0,254901961
9,4;119;65,78769759;351;0,339031339
9,5;133;66,48117564;345;0,385507246
9,6;153;67,17445118;357;0,428571429
9,7;175;67,86752209;354;0,494350282
9,8;183;68,56038626;358;0,511173184
9,9;174;69,25304159;351;0,495726496
10;176;69,94548596;360;0,488888889
10,1;169;70,63771727;369;0,45799458
10,2;172;71,3297334;355;0,484507042
10,3;179;72,02153225;365;0,490410959
10,4;169;72,71311171;358;0,472067039
10,5;168;73,40446967;366;0,459016393
10,6;161;74,09560403;362;0,444751381
10,7;156;74,78651268;369;0,422764228
10,8;164;75,47719352;372;0,440860215
10,9;159;76,16764444;375;0,424
11;159;76,85786334;365;0,435616438
