angle;imp;lambda;conjut 2;T
7;87;49,08897152;275;0,316363636
7,1;88;49,78667483;276;0,31884058
7,2;90;50,48422648;286;0,314685315
7,3;88;51,18162434;292;0,301369863
7,4;95;51,8788663;300;0,316666667
7,5;79;52,57595023;304;0,259868421
7,6;86;53,272874;303;0,283828383
7,7;80;53,96963549;323;0,247678019
7,8;83;54,66623258;326;0,254601227
7,9;78;55,36266314;334;0,233532934
8;79;56,05892507;326;0,242331288
8,1;72;56,75501622;335;0,214925373
8,2;72;57,4509345;340;0,211764706
8,3;67;58,14667776;339;0,197640118
8,4;65;58,8422439;336;0,193452381
8,5;66;59,5376308;347;0,190201729
8,6;59;60,23283634;344;0,171511628
8,7;56;60,9278584;342;0,16374269
8,8;55;61,62269486;347;0,158501441
8,9;51;62,3173436;347;0,146974063
9;55;63,01180252;343;0,160349854
9,1;46;63,70606949;358;0,12849162
9,2;46;64,4001424;344;0,13372093
9,3;47;65,09401914;357;0,131652661
9,4;45;65,78769759;351;0,128205128
9,5;42;66,48117564;345;0,12173913
9,6;45;67,17445118;357;0,12605042
9,7;68;67,86752209;354;0,192090395
9,8;99;68,56038626;358;0,276536313
9,9;136;69,25304159;351;0,387464387
10;152;69,94548596;360;0,422222222
10,1;184;70,63771727;369;0,498644986
10,2;212;71,3297334;355;0,597183099
10,3;214;72,02153225;365;0,58630137
10,4;208;72,71311171;358;0,581005587
10,5;207;73,40446967;366;0,56557377
10,6;207;74,09560403;362;0,571823204
10,7;205;74,78651268;369;0,555555556
10,8;204;75,47719352;372;0,548387097
10,9;215;76,16764444;375;0,573333333
11;206;76,85786334;365;0,564383562
