angle;Conjunt 3;lambda
14;342;97,44613955
14,1;363;98,12812675
14,2;338;98,80981503
14,3;332;99,49120232
14,4;333;100,1722866
14,5;349;100,8530656
14,6;350;101,5335375
14,7;366;102,2137001
14,8;366;102,8935513
14,9;351;103,5730891
15;370;104,2523114
15,1;389;104,9312161
15,2;454;105,6098012
15,3;474;106,2880645
15,4;441;106,9660041
15,5;447;107,6436179
15,6;542;108,3209037
15,7;648;108,9978596
15,8;735;109,6744835
15,9;558;110,3507733
16;503;111,0267269
16,1;488;111,7023424
16,2;409;112,3776175
16,3;371;113,0525504
16,4;351;113,7271388
16,5;345;114,4013808
16,6;338;115,0752744
16,7;339;115,7488174
16,8;318;116,4220078
16,9;305;117,0948436
17;317;117,7673227
17,1;312;118,439443
17,2;322;119,1112026
17,3;329;119,7825993
17,4;340;120,4536311
17,5;363;121,124296
17,6;375;121,794592
17,7;474;122,4645169
17,8;738;123,1340688
17,9;1021;123,8032456
18;1255;124,4720453
18,1;930;125,1404659
18,2;963;125,8085052
18,3;1171;126,4761613
18,4;1328;127,1434321
18,5;1968;127,8103156
18,6;1773;128,4768098
18,7;1139;129,1429126
18,8;1215;129,808622
18,9;925;130,4739361
19;570;131,1388526
19,1;477;131,8033697
19,2;397;132,4674853
19,3;353;133,1311974
19,4;335;133,7945039
19,5;325;134,4574029
19,6;316;135,1198923
19,7;308;135,7819701
19,8;305;136,4436343
19,9;294;137,1048828
20;292;137,7657137
20,1;306;138,426125
20,2;289;139,0861146
20,3;284;139,7456805
20,4;283;140,4048207
20,5;296;141,0635332
20,6;322;141,721816
20,7;319;142,3796671
20,8;294;143,0370845
20,9;295;143,6940661
21;296;144,3506101
21,1;329;145,0067143
21,2;558;145,6623768
21,3;1115;146,3175956
21,4;1773;146,9723687
21,5;2739;147,6266941
21,6;2081;148,2805698
21,7;1573;148,9339938
21,8;1307;149,5869642
21,9;725;150,2394788
22;446;150,8915358
22,1;308;151,5431332
22,2;252;152,1942689
22,3;242;152,8449411
22,4;223;153,4951476
22,5;213;154,1448866
22,6;211;154,794156
22,7;209;155,4429538
22,8;205;156,0912782
22,9;200;156,7391271
23;187;157,3864986
23,1;193;158,0333906
23,2;188;158,6798012
23,3;182;159,3257284
23,4;181;159,9711703
23,5;174;160,616125
23,6;172;161,2605903
23,7;166;161,9045644
23,8;176;162,5480454
23,9;163;163,1910312
24;165;163,8335198
24,1;158;164,4755094
24,2;161;165,116998
24,3;164;165,7579836
24,4;180;166,3984643
24,5;202;167,0384381
24,6;219;167,6779031
24,7;213;168,3168573
24,8;189;168,9552988
24,9;174;169,5932256
25;159;170,2306358
25,1;141;170,8675275
25,2;136;171,5038986
25,3;134;172,1397474
25,4;129;172,7750717
25,5;134;173,4098698
25,6;129;174,0441396
25,7;119;174,6778793
25,8;120;175,3110868
25,9;114;175,9437604
26;118;176,5758979
