angle;intensitat
5;39
5,1;36
5,2;41
5,3;37
5,4;35
5,5;37
5,6;40
5,7;38
5,8;28
5,9;34
6;29
6,1;34
6,2;40
6,3;30
6,4;36
6,5;31
6,6;38
6,7;43
6,8;33
6,9;25
7;36
7,1;33
7,2;39
7,3;38
7,4;23
7,5;28
7,6;32
7,7;30
7,8;37
7,9;33
8;32
8,1;31
8,2;29
8,3;34
8,4;37
8,5;36
8,6;31
8,7;31
8,8;29
8,9;37
9;34
9,1;30
9,2;34
9,3;35
9,4;28
9,5;27
9,6;38
9,7;37
9,8;30
9,9;34
10;34
10,1;33
10,2;29
10,3;27
10,4;26
10,5;32
10,6;29
10,7;39
10,8;36
10,9;26
11;26
11,1;28
11,2;35
11,3;27
11,4;29
11,5;37
11,6;29
11,7;33
11,8;27
11,9;40
12;39
12,1;52
12,2;83
12,3;77
12,4;48
12,5;29
12,6;29
12,7;41
12,8;32
12,9;57
13;78
13,1;113
13,2;200
13,3;319
13,4;816
13,5;1624
13,6;2950
13,7;878
13,8;122
13,9;74
14;66
14,1;57
14,2;53
14,3;54
14,4;52
14,5;48
14,6;43
14,7;45
14,8;51
14,9;49
15;46
15,1;46
15,2;49
15,3;35
15,4;38
15,5;39
15,6;43
15,7;37
15,8;36
15,9;45
16;33
16,1;40
16,2;39
16,3;35
16,4;41
16,5;41
16,6;38
16,7;35
16,8;34
16,9;41
17;39
17,1;34
17,2;32
17,3;33
17,4;31
17,5;32
17,6;27
17,7;33
17,8;30
17,9;27
18;31
18,1;30
18,2;21
18,3;31
18,4;30
18,5;27
18,6;24
18,7;31
18,8;29
18,9;26
19;30
19,1;29
19,2;24
19,3;22
19,4;27
19,5;31
19,6;27
19,7;30
19,8;22
19,9;25
20;26
20,1;35
20,2;24
20,3;24
20,4;26
20,5;19
20,6;25
20,7;23
20,8;22
20,9;19
21;23
21,1;22
21,2;23
21,3;20
21,4;15
21,5;23
21,6;24
21,7;23
21,8;21
21,9;15
22;25
22,1;18
22,2;25
22,3;21
22,4;25
22,5;26
22,6;19
22,7;28
22,8;23
22,9;22
23;15
23,1;21
23,2;24
23,3;16
23,4;22
23,5;24
23,6;27
23,7;18
23,8;19
23,9;25
24;22
24,1;23
24,2;20
24,3;16
24,4;21
24,5;23
24,6;23
24,7;25
24,8;31
24,9;38
25;58
25,1;44
25,2;24
25,3;23
25,4;26
25,5;20
25,6;21
25,7;18
25,8;23
25,9;30
26;24
26,1;23
26,2;23
26,3;24
26,4;23
26,5;25
26,6;19
26,7;20
26,8;25
26,9;21
27;33
27,1;39
27,2;34
27,3;37
27,4;47
27,5;52
27,6;61
27,7;136
27,8;572
27,9;1027
28;809
28,1;202
28,2;90
28,3;58
28,4;42
28,5;33
28,6;26
28,7;30
28,8;25
28,9;29
29;32
29,1;26
29,2;32
29,3;36
29,4;28
29,5;30
29,6;18
29,7;19
29,8;21
29,9;21
30;22
30,1;19
30,2;28
30,3;28
30,4;26
30,5;17
30,6;20
30,7;27
30,8;24
30,9;21
31;25
31,1;30
31,2;28
31,3;25
31,4;21
31,5;20
31,6;16
31,7;22
31,8;26
31,9;32
32;18
32,1;21
32,2;30
32,3;21
32,4;21
32,5;26
32,6;23
32,7;19
32,8;25
32,9;26
33;22
33,1;25
33,2;24
33,3;23
33,4;21
33,5;23
33,6;22
33,7;22
33,8;33
33,9;26
34;27
34,1;30
34,2;24
34,3;23
34,4;19
34,5;24
34,6;23
34,7;24
34,8;18
34,9;19
35;24
35,1;25
35,2;26
35,3;23
35,4;21
35,5;21
35,6;20
35,7;21
35,8;30
35,9;19
36;23
36,1;27
36,2;21
36,3;25
36,4;18
36,5;20
36,6;21
36,7;27
36,8;19
36,9;24
37;28
37,1;23
37,2;27
37,3;20
37,4;30
37,5;30
37,6;27
37,7;23
37,8;25
37,9;22
38;22
38,1;26
38,2;29
38,3;26
38,4;19
38,5;21
38,6;25
38,7;29
38,8;27
38,9;24
39;24
39,1;21
39,2;25
39,3;28
39,4;22
39,5;21
39,6;19
39,7;19
39,8;25
39,9;22
40;21
40,1;24
40,2;25
40,3;24
40,4;19
40,5;20
40,6;25
40,7;17
40,8;13
40,9;21
41;26
41,1;29
41,2;18
41,3;15
41,4;22
41,5;18
41,6;19
41,7;19
41,8;26
41,9;23
42;24
42,1;21
42,2;20
42,3;20
42,4;18
42,5;17
42,6;22
42,7;26
42,8;21
42,9;21
43;25
43,1;21
43,2;28
43,3;26
43,4;21
43,5;26
43,6;30
43,7;22
43,8;28
43,9;28
44;29
44,1;30
44,2;34
44,3;44
44,4;98
44,5;244
44,6;251
44,7;185
44,8;63
44,9;37
45;33
45,1;17
45,2;28
45,3;21
45,4;25
45,5;19
45,6;27
45,7;30
45,8;20
45,9;21
46;25
46,1;19
46,2;21
46,3;24
46,4;20
46,5;26
46,6;18
46,7;22
46,8;17
46,9;27
47;24
47,1;30
47,2;19
47,3;20
47,4;23
47,5;16
47,6;22
47,7;29
47,8;25
47,9;16
48;21
48,1;20
48,2;17
48,3;36
48,4;26
48,5;20
48,6;24
48,7;21
48,8;22
48,9;19
49;20
49,1;18
49,2;19
49,3;24
49,4;16
49,5;22
49,6;18
49,7;24
49,8;19
