Temp;Baixada;BaixadaPrima;;;;;
41,7;123;0,010204082;;;;;
41,8;124;0,010101010;;;;;
41,9;125;0,010000000;;;;;
42,6;126;0,009900990;;;;;
42,7;127;0,009803922;;;;;
42,8;128;0,009708738;;;;;
42,9;128;0,009708738;;;;;
43;129;0,009615385;;;;;
43,1;129;0,009615385;;;;;
43,2;130;0,009523810;;;;;
43,3;132;0,009345794;;;;;
43,4;133;0,009259259;;;;;
43,5;134;0,009174312;;;;;
43,6;134;0,009174312;;;;;
43,7;134;0,009174312;;;;;
43,8;135;0,009090909;;;;;
43,9;135;0,009090909;;;;;
44;135;0,009090909;;;;;
44,1;136;0,009009009;;;;;
44,2;139;0,008771930;;;;;
44,3;139;0,008771930;;;;;
44,4;139;0,008771930;;;;;
44,5;141;0,008620690;;;;;
44,6;141;0,008620690;;;;;
44,7;144;0,008403361;;;;;
44,8;144;0,008403361;;;;;
44,9;144;0,008403361;;;;;
45;147;0,008196721;;;;;
45,1;148;0,008130081;;;;;
45,2;148;0,008130081;;;;;
45,3;150;0,008000000;;;;;
45,4;150;0,008000000;;;;;
45,5;150;0,008000000;;;;;
45,6;153;0,007812500;;;;;
45,7;155;0,007692308;;;;;
45,8;155;0,007692308;;;;;
45,9;158;0,007518797;;;;;
46;158;0,007518797;;;;;
46,1;159;0,007462687;;;;;
46,2;159;0,007462687;;;;;
46,3;160;0,007407407;;;;;
46,4;161;0,007352941;;;;;
46,5;158;0,007518797;;;;;
46,6;158;0,007518797;;;;;
46,7;160;0,007407407;;;;;
46,8;161;0,007352941;;;;;
46,9;164;0,007194245;;;;;
47;165;0,007142857;;;;;
47,1;169;0,006944444;;;;;
47,2;171;0,006849315;;;;;
47,3;172;0,006802721;;;;;
47,4;176;0,006622517;;;;;
47,5;177;0,006578947;;;;;
47,6;179;0,006493506;;;;;
47,7;180;0,006451613;;;;;
47,8;182;0,006369427;;;;;
47,9;188;0,006134969;;;;;
48;190;0,006060606;;;;;
48,1;195;0,005882353;;;;;
48,2;196;0,005847953;;;;;
48,3;197;0,005813953;;;;;
48,4;198;0,005780347;;;;;
48,5;203;0,005617978;;;;;
48,6;207;0,005494505;;;;;
48,7;218;0,005181347;;;;;
48,8;225;0,005000000;;;;;
48,9;232;0,004830918;;;;;
49;238;0,004694836;;;;;
49,1;241;0,004629630;;;;;
49,2;248;0,004484305;;;;;
49,3;252;0,004405286;;;;;
49,4;261;0,004237288;;;;;
49,5;283;0,003875969;;;;;
49,6;291;0,003759398;;;;;
49,7;295;0,003703704;;;;;
49,8;299;0,003649635;;;;;
49,9;328;0,003300330;;;;;
50;362;0,002967359;;;;;
50,1;375;0,002857143;;;;;
50,2;381;0,002808989;;;;;
50,3;403;0,002645503;;;;;
50,4;433;0,002450980;;;;;
50,5;455;0,002325581;;;;;
50,6;513;0,002049180;;;;;
50,7;701;0,001479290;;;;;
50,8;690,7;0,001502178;;;;;
50,9;645,6;0,001611344;;;;;
51;516,5;0,002034588;;;;;
51,1;500,6;0,002102607;;;;;
51,2;452;0,002341920;;;;;
51,3;448,2;0,002362949;;;;;
51,4;442,7;0,002394063;;;;;
51,5;402;0,002652520;;;;;
51,6;394,5;0,002706360;;;;;
51,7;391,8;0,002726281;;;;;
51,8;366,7;0,002926544;;;;;
51,9;348,4;0,003092146;;;;;
52;346,2;0,003113325;;;;;
52,1;341;0,003164557;;;;;
52,2;326,3;0,003318951;;;;;
52,3;320;0,003389831;;;;;
52,4;309,5;0,003514938;;;;;
52,5;307,5;0,003539823;;;;;
52,6;297;0,003676471;;;;;
52,7;293,2;0,003728561;;;;;
52,8;286,2;0,003828484;;;;;
52,9;275,8;0,003987241;;;;;
53;265,4;0,004159734;;;;;
53,1;258,4;0,004284490;;;;;
53,2;252,3;0,004399472;;;;;
53,3;241,2;0,004625347;;;;;
53,4;241,1;0,004627487;;;;;
53,5;240,9;0,004631774;;;;;
53,6;240,6;0,004638219;;;;;
53,7;238,1;0,004692633;;;;;
53,8;237,8;0,004699248;;;;;
53,9;236,6;0,004725898;;;;;
54;235,1;0,004759638;;;;;
54,1;234,9;0,004764173;;;;;
54,2;233,3;0,004800768;;;;;
54,3;233;0,004807692;;;;;
54,4;233,1;0,004805382;;;;;
54,5;233,2;0,004803074;;;;;
54,6;233,7;0,004791567;;;;;
54,9;235;0,004761905;;;;;
55;235;0,004761905;;;;;
