I_e(A);B(mT)
-0,42;-55
-0,86;-106
-1,24;-164
-1,81;-220
-2,05;-257
-2,73;-320
-3,27;-367
-3,88;-407
-5,02;-452
-7,41;-501
-9,97;-532
-7,78;-508
-5,44;-466
-3,78;-410
-3,07;-364
-2,42;-305
-2,01;-252
-1,45;-196
-1,12;-157
-0,7;-104
-0,27;-48
0,55;57
1,06;122
1,61;191
2,2;261
2,73;317
3,21;362
3,91;411
5,09;459
7,44;507
9,93;535
7,61;511
5,05;464
3,66;408
2,91;355
2,28;298
1,91;247
1,35;188
1,05;147
0,65;102
0,37;61
0;18
-0,47;-43
-0,88;-103
-1,41;-167
-2,04;-234
-2,49;-287
-3,06;-344
-3,94;-407
-5,22;-455
-7,53;-501
-9,84;-529
