B(mT);V(mV);B(mT)2;V(mV)2;B(mT)3;V(mV)3
490;0,1032;534;-0,1561;533;0,2024
534;0,1037;484;-0,1554;487;0,2015
440;0,1031;434;-0,1547;432;0,2007
389;0,1027;380;-0,154;377;0,2001
330;0,1023;333;-0,1536;332;0,1993
292;0,1018;289;-0,153;285;0,1985
242;0,1011;242;-0,1527;238;0,1977
192;0,1008;182;-0,1518;189;0,1971
148;0,1006;142;-0,1514;137;0,1963
95;0,0998;98;-0,151;100;0,1958
50;0,0997;53;-0,1505;54;0,1948
18;0,0994;19;-0,1502;18;0,1942
-41;0,0991;-44;-0,1492;-42;0,1936
-93;0,0987;-99;-0,1485;-92;0,1927
-152;0,0983;-153;-0,148;-137;0,1922
-207;0,0977;-206;-0,1477;-191;0,1911
-256;0,0971;-249;-0,1467;-249;0,1902
-303;0,0968;-300;-0,146;-309;0,1891
-364;0,0964;-355;-0,1454;-349;0,1885
-412;0,096;-403;-0,1448;-399;0,1877
-448;0,0957;-450;-0,1445;-455;0,1871
-489;0,0956;-498;-0,144;-499;0,1866
-529;0,0955;-528;-0,1434;-526;0,1863
