B;Vh;B2;Vh2;B3;Vh3;;
490;0,0042;534;-0,0064;533;0,0087;;
534;0,0047;484;-0,0057;487;0,0078;;
440;0,0041;434;-0,005;432;0,007;;
389;0,0037;380;-0,0043;377;0,0064;;
330;0,0033;333;-0,0039;332;0,0056;;
292;0,0028;289;-0,0033;285;0,0048;;
242;0,0021;242;-0,003;238;0,004;;
192;0,0018;182;-0,0021;189;0,0034;;
148;0,0016;142;-0,0017;137;0,0026;;
95;0,0008;98;-0,0013;100;0,0021;;
50;0,0007;53;-0,0008;54;0,0011;;
18;0,0004;19;-0,0005;18;0,0005;;
-41;1E-04;-44;0,0005;-42;-0,0001;;
-93;-0,0003;-99;0,0012;-92;-0,001;;
-152;-0,0007;-153;0,0017;-137;-0,0015;;
-207;-0,0013;-206;0,002;-191;-0,0026;;
-256;-0,0019;-249;0,003;-249;-0,0035;;
-303;-0,0022;-300;0,0037;-309;-0,0046;;
-364;-0,0026;-355;0,0043;-349;-0,0052;;
-412;-0,003;-403;0,0049;-399;-0,006;;
-448;-0,0033;-450;0,0052;-455;-0,0066;;
-489;-0,0034;-498;0,0057;-499;-0,0071;;
-529;-0,0035;-528;0,0063;-526;-0,0074;;
