T;PLATI;MOSTRA(kOhm);mostra(Ohm);mob
291,166;106;0,255;255;3,921568627
79,856;21;0,025;25;40
82,342;22;0,025;25;40
84,828;23;0,025;25;40
87,314;24;0,025;25;40
89,8;25;0,025;25;40
92,286;26;0,025;25;40
94,772;27;0,025;25;40
97,258;28;0,026;26;38,46153846
99,744;29;0,026;26;38,46153846
102,23;30;0,026;26;38,46153846
104,716;31;0,027;27;37,03703704
107,202;32;0,027;27;37,03703704
109,688;33;0,028;28;35,71428571
112,174;34;0,028;28;35,71428571
114,66;35;0,029;29;34,48275862
117,146;36;0,03;30;33,33333333
119,632;37;0,031;31;32,25806452
122,118;38;0,032;32;31,25
124,604;39;0,033;33;30,3030303
127,09;40;0,035;35;28,57142857
129,576;41;0,036;36;27,77777778
132,062;42;0,037;37;27,02702703
134,548;43;0,037;37;27,02702703
137,034;44;0,039;39;25,64102564
139,52;45;0,04;40;25
142,006;46;0,042;42;23,80952381
144,492;47;0,043;43;23,25581395
146,978;48;0,045;45;22,22222222
149,464;49;0,046;46;21,73913043
151,95;50;0,048;48;20,83333333
154,436;51;0,049;49;20,40816327
156,922;52;0,051;51;19,60784314
159,408;53;0,052;52;19,23076923
161,894;54;0,054;54;18,51851852
164,38;55;0,056;56;17,85714286
166,866;56;0,057;57;17,54385965
169,352;57;0,059;59;16,94915254
171,838;58;0,062;62;16,12903226
174,324;59;0,064;64;15,625
176,81;60;0,066;66;15,15151515
179,296;61;0,068;68;14,70588235
181,782;62;0,071;71;14,08450704
184,268;63;0,073;73;13,69863014
186,754;64;0,076;76;13,15789474
189,24;65;0,078;78;12,82051282
191,726;66;0,08;80;12,5
194,212;67;0,082;82;12,19512195
196,698;68;0,085;85;11,76470588
199,184;69;0,088;88;11,36363636
201,67;70;0,09;90;11,11111111
204,156;71;0,094;94;10,63829787
206,642;72;0,096;96;10,41666667
209,128;73;0,099;99;10,1010101
211,614;74;0,101;101;9,900990099
214,1;75;0,105;105;9,523809524
216,586;76;0,108;108;9,259259259
219,072;77;0,111;111;9,009009009
221,558;78;0,115;115;8,695652174
224,044;79;0,119;119;8,403361345
226,53;80;0,122;122;8,196721311
229,016;81;0,126;126;7,936507937
231,502;82;0,129;129;7,751937984
233,988;83;0,132;132;7,575757576
236,474;84;0,137;137;7,299270073
238,96;85;0,14;140;7,142857143
241,446;86;0,144;144;6,944444444
243,932;87;0,149;149;6,711409396
246,418;88;0,153;153;6,535947712
248,904;89;0,158;158;6,329113924
251,39;90;0,162;162;6,172839506
253,876;91;0,166;166;6,024096386
256,362;92;0,172;172;5,813953488
258,848;93;0,176;176;5,681818182
261,334;94;0,18;180;5,555555556
263,82;95;0,185;185;5,405405405
266,306;96;0,19;190;5,263157895
268,792;97;0,195;195;5,128205128
271,278;98;0,2;200;5
273,764;99;0,206;206;4,854368932
276,25;100;0,211;211;4,739336493
278,736;101;0,216;216;4,62962963
281,222;102;0,221;221;4,524886878
283,708;103;0,228;228;4,385964912
286,194;104;0,234;234;4,273504274
288,68;105;0,24;240;4,166666667
291,166;106;0,245;245;4,081632653
293,652;107;0,25;250;4
296,138;108;0,257;257;3,891050584
298,624;109;0,262;262;3,816793893
301,11;110;0,27;270;3,703703704
