longitud d'ona (nm);tensio;tensioA;tensioB;error
800;11,3;0,9;1;0,9
805;11,6;0,4;1,2;0,9
810;11,9;0,9;0,6;0,9
815;12,6;0,9;0,7;0,9
820;13,1;1,2;1,1;0,9
825;13,5;0,9;0,9;0,9
830;14,15;1,2;0,3;0,9
835;14,85;0,8;1,2;0,9
840;15,75;0,8;0,3;0,9
845;16,65;1,1;1,2;0,9
850;17,4;1,2;0,3;0,9
855;19,2;0,7;0,1;0,9
860;20,55;0,4;1,2;0,9
865;21,85;0,3;0,6;0,9
870;23,35;0,3;1,2;0,9
875;25,2;0,6;0,8;0,9
880;26,65;1,1;0,8;0,9
885;28,5;3,3;0,4;0,9
890;30,35;8;1,1;0,9
895;31,8;11,7;1,2;0,9
900;33,6;13,1;0,4;0,9
905;35,65;14,2;0,5;0,9
910;37,7;15,1;1,2;0,9
915;40,55;16,2;1;0,9
920;43,6;17,4;1,1;0,9
925;48,25;19,2;0,7;0,9
930;52,95;20,9;1,2;0,9
935;57,35;22,7;1,2;0,9
940;61,25;24,1;0,2;0,9
945;64,75;25,2;0,5;0,9
950;68,9;26,5;1;0,9
955;73;27,5;0,8;0,9
960;76,9;29,2;1,1;0,9
965;81;30,1;1;0,9
970;85,55;31,4;1,2;0,9
975;88,05;32,7;1,4;0,9
980;90,3;34,5;1,7;0,9
985;92,5;35,3;2,1;0,9
990;95,4;36;2,6;0,9
995;97,9;36,6;3,6;0,9
1000;99,85;37,4;4,8;0,9
1005;101,5;38,3;6,4;0,9
1010;103,1;39,1;8,6;0,9
1015;105,7;39,1;10,5;0,9
1020;107,9;40,2;13,8;0,9
1025;110,05;40,5;17,5;0,9
1030;111,75;41,4;21,7;0,9
1035;112,95;42,2;26,8;0,9
1040;114,9;42,5;33,1;0,9
1045;116,7;43,4;38,5;0,9
1050;117,6;44,2;45,1;0,9
1055;119,15;44,4;51,9;0,9
1060;120,7;45,4;59,2;0,9
1065;121,7;46,2;64,8;0,9
1070;123,6;47;69,7;0,9
1075;124,55;47,2;74,4;0,9
1080;126,25;47,4;78,5;0,9
1085;127,2;47,9;82,8;0,9
1090;128,35;48,2;86,9;0,9
1095;129,6;48,9;90,8;0,9
1100;130,9;49,6;94,3;0,9
1105;131,5;49,4;97,5;0,9
1110;133,2;49,8;101,4;0,9
1115;134,35;50,3;104,5;0,9
1120;135,2;50,2;106,8;0,9
1125;135,85;50,6;109,8;0,9
1130;135,75;50,9;112,6;0,9
1135;136,7;51,6;115,1;0,9
1140;138,55;51,8;117,9;0,9
1145;139,65;52,2;120,8;0,9
1150;140,7;52,2;122,4;0,9
1155;141,9;52,3;125,4;0,9
1160;143,1;53,1;128,1;0,9
1165;144,6;53,1;129,5;0,9
1170;146,75;53,9;131,4;0,9
1175;147,7;54,2;133,2;0,9
1180;148,9;54,8;135,1;0,9
1185;150,1;55,1;136,4;0,9
1190;151;55,5;137,9;0,9
1195;152,35;55,8;139,1;0,9
1200;153,55;55,9;139,9;0,9
1205;154,5;56,3;140,1;0,9
1210;155,65;56,7;141,2;0,9
1215;158;57,1;142,4;0,9
1220;159,8;57,3;143,1;0,9
1225;160,25;57,7;144,8;0,9
1230;162;57,8;144,6;0,9
1235;161,35;57,8;144,3;0,9
1240;162,25;58,1;144,1;0,9
1245;162,95;58,4;145,1;0,9
1250;163,65;58,5;145,2;0,9
